before,after,operation
driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/dma.rs,driver/chips/esp32s31/wifi/src/rx/storage.rs,move existing default storage profile and aliases
driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/frontier/lifecycle.rs,driver/chips/esp32s31/wifi/src/rx/frontier/lifecycle.rs,move executor-neutral RX frontier
driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/frontier/state.rs,driver/chips/esp32s31/wifi/src/rx/frontier/state.rs,move executor-neutral RX frontier
driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/frontier/tests.rs,driver/chips/esp32s31/wifi/src/rx/frontier/tests.rs,move executor-neutral RX frontier
driver/adapters/embassy/esp32s31/wifi/src/datapath/rx/frontier/time.rs,driver/chips/esp32s31/wifi/src/rx/time.rs,extract abstract delay; Embassy Timer stays in adapter
driver/adapters/esp-hal/esp32s31/soc/src/dma/mem2mem.rs,driver/adapters/esp-hal/esp32s31/soc/src/dma/mem2mem/completion.rs,extract DMA responsibility
driver/adapters/esp-hal/esp32s31/soc/src/dma/mem2mem.rs,driver/adapters/esp-hal/esp32s31/soc/src/dma/mem2mem/descriptor.rs,extract DMA responsibility
driver/adapters/esp-hal/esp32s31/soc/src/dma/mem2mem.rs,driver/adapters/esp-hal/esp32s31/soc/src/dma/mem2mem/registers.rs,extract DMA responsibility
driver/adapters/esp-hal/esp32s31/soc/src/dma/mem2mem.rs,driver/adapters/esp-hal/esp32s31/soc/src/dma/mem2mem/transfer.rs,extract DMA responsibility
driver/bluetooth/hci/src/bootstrap.rs,driver/bluetooth/hci/src/bootstrap/command.rs,extract bootstrap responsibility
driver/bluetooth/hci/src/bootstrap.rs,driver/bluetooth/hci/src/bootstrap/config.rs,extract bootstrap responsibility
driver/bluetooth/hci/src/bootstrap.rs,driver/bluetooth/hci/src/bootstrap/response.rs,extract bootstrap responsibility
driver/bluetooth/hci/src/bootstrap.rs,driver/bluetooth/hci/src/bootstrap/state.rs,extract bootstrap responsibility
driver/bluetooth/hci/src/channel.rs,driver/bluetooth/hci/src/transport/channel.rs,move async channel; codec and queue extracted
driver/bluetooth/hci/src/channel.rs,driver/bluetooth/hci/src/transport/channel/codec.rs,extract channel responsibility
driver/bluetooth/hci/src/channel.rs,driver/bluetooth/hci/src/transport/channel/queue.rs,extract channel responsibility
driver/bluetooth/hci/src/lib.rs,driver/bluetooth/hci/src/transport/packet.rs,extract transport responsibility
driver/bluetooth/hci/src/lib.rs,driver/bluetooth/hci/src/transport/queue.rs,extract transport responsibility
driver/bluetooth/hci/src/resources.rs,driver/bluetooth/hci/src/controller.rs,move joint controller resource owner
driver/bluetooth/hci/src/resources.rs,driver/bluetooth/hci/src/controller/endpoint.rs,extract affine controller endpoint
